RegionName	StateName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
13208	NY	14	19	12	22	12	16	9	10	14	16	7	9	12	19	18	12	16	26	20	9	11	9	13	13	34	13	16	3	12	10	14	5	7	7	9	15	21	13	14	5	13	13	9	13	11	13	8	15	15	17	14	15	16	7	18	14	11	12	8	16	15	18	23	15	29	11	15	11	8	14	12	23	18	21	16	18	16	10	10	15	9	20	14	5	0	0
13209	NY	19	20	15	11	11	14	11	1	4	3	10	11	6	11	15	14	10	13	11	5	6	15	11	10	18	10	18	6	8	9	4	6	7	13	11	12	14	14	8	12	12	3	10	5	4	8	6	15	8	12	11	6	16	5	9	9	8	8	7	8	6	15	15	17	13	7	11	7	10	7	4	7	7	12	6	14	9	12	12	8	8	7	9	6	0	0
13210	NY	20	26	22	13	9	5	2	2	3	4	9	12	22	14	16	16	11	5	9	2	6	6	8	20	26	13	22	6	9	10	7	6	5	9	3	13	16	19	11	10	8	6	6	5	2	6	5	11	20	14	23	6	12	11	7	8	4	5	9	12	15	21	15	5	11	3	9	7	6	12	6	10	19	24	20	5	10	11	12	6	4	8	4	4	0	0
13211	NY	8	11	8	9	12	4	6	3	3	9	6	10	11	10	8	8	7	9	8	3	4	9	10	10	12	2	4	6	3	6	5	5	1	3	4	4	6	6	6	9	6	1	8	4	4	5	11	2	5	8	6	6	4	9	4	4	1	6	5	6	5	10	5	7	12	4	6	6	4	4	2	8	9	8	4	10	9	2	7	7	6	4	3	4	0	0
13212	NY	27	31	19	28	21	28	11	9	7	10	10	22	23	28	25	27	29	39	18	5	18	20	28	25	53	19	19	9	18	14	23	18	7	12	23	31	29	24	15	25	26	14	21	14	18	16	17	24	27	30	26	15	23	23	25	13	12	9	22	14	20	28	21	26	19	18	19	20	16	21	25	30	20	25	28	20	20	20	17	14	18	14	25	10	0	0
13214	NY	14	12	19	7	6	4	8	5	6	8	6	9	8	13	9	7	6	12	15	7	6	4	10	10	18	10	9	5	9	6	6	8	4	4	8	4	6	10	12	12	8	8	4	10	5	4	8	8	11	16	19	5	9	9	7	6	7	6	6	10	11	18	10	6	11	6	7	6	5	5	11	7	7	9	6	7	6	9	7	6	2	3	4	5	0	0
13215	NY	19	20	14	14	11	8	4	3	6	6	8	8	18	14	13	12	26	18	9	7	5	4	13	7	24	7	8	7	9	12	15	14	8	6	6	9	14	8	13	10	6	11	12	3	5	3	3	13	19	16	24	7	14	15	11	5	4	7	8	14	10	15	19	11	7	9	7	7	10	9	5	8	17	14	13	15	11	13	9	7	11	8	10	3	0	0
13219	NY	27	22	25	15	17	13	10	10	5	10	13	19	20	34	18	33	23	23	23	8	15	20	22	21	32	14	17	15	13	13	20	9	7	6	11	16	24	18	22	21	13	8	13	13	11	13	24	17	22	18	20	16	25	12	13	7	12	15	19	20	16	30	23	21	25	12	17	17	11	12	14	20	18	33	23	24	22	14	17	14	5	12	14	11	0	0
13224	NY	13	18	20	12	8	4	5	4	2	8	9	12	10	13	18	8	10	11	6	5	5	14	14	9	8	9	13	5	2	9	4	8	1	3	5	7	12	10	11	10	9	9	7	10	3	4	8	10	15	10	9	3	7	11	6	2	5	6	5	7	9	16	18	10	10	9	5	5	2	8	4	7	8	11	14	10	12	11	4	3	4	12	2	7	0	0
13304	NY	1	2	0	3	2	2	2	0	1	1	0	2	0	0	1	2	1	2	0	2	2	2	3	0	1	0	0	0	0	0	1	1	2	0	0	1	1	1	2	0	1	0	1	0	1	1	1	0	0	2	3	0	0	0	0	0	2	1	1	1	0	2	1	0	0	0	3	1	1	1	0	0	1	0	2	0	2	2	0	2	0	1	2	2	4	1
13308	NY	4	4	5	1	4	2	2	3	0	7	6	4	0	0	5	4	9	3	1	3	0	5	2	4	4	2	5	1	3	2	3	2	0	3	2	3	2	0	1	2	3	4	1	1	0	1	1	4	1	1	2	2	1	4	2	2	2	3	1	1	7	1	1	2	2	0	2	0	3	3	0	0	4	5	2	4	2	4	2	1	2	6	0	3	4	2
13309	NY	6	2	7	5	4	4	4	3	3	4	2	4	3	3	1	5	5	4	1	1	0	3	7	3	14	2	4	4	4	2	5	3	3	3	2	4	2	7	1	8	2	2	1	3	4	2	2	3	2	2	5	3	4	5	4	2	4	1	5	5	1	6	2	5	3	4	7	1	1	2	1	4	4	2	1	4	4	3	2	3	0	2	1	3	3	4
13316	NY	2	1	2	4	6	3	6	3	2	1	2	4	3	4	4	8	4	4	5	1	2	3	3	5	4	5	5	7	6	8	3	5	5	5	3	7	3	3	4	2	4	3	5	3	2	1	2	4	4	8	3	1	8	3	4	1	5	3	8	3	1	9	3	4	8	2	3	3	3	3	2	3	7	0	4	5	3	4	6	1	5	4	2	7	3	3
13320	NY	3	0	0	0	1	0	1	0	2	0	1	1	1	0	1	4	2	0	3	1	3	1	0	0	1	1	1	1	1	0	2	0	0	0	0	0	1	0	1	4	4	0	1	0	0	0	1	0	2	1	1	1	0	1	2	2	1	0	0	1	0	1	2	0	3	0	3	1	2	0	1	1	1	1	0	1	5	0	0	2	3	0	2	1	0	0
13323	NY	5	10	12	8	12	4	7	4	3	2	7	8	8	11	15	4	10	9	8	4	4	2	4	7	14	8	7	3	7	6	2	3	4	8	4	3	11	5	7	9	11	4	4	6	3	3	6	2	10	9	10	11	4	6	8	7	2	6	8	7	6	7	6	5	8	7	8	10	4	4	6	6	6	9	10	12	6	5	17	6	3	6	9	9	12	6
13326	NY	6	4	1	3	4	1	3	1	0	2	2	3	1	4	2	4	6	5	1	3	0	5	1	2	2	7	4	2	1	1	5	4	2	1	2	2	3	2	3	6	6	0	4	1	7	3	3	0	1	3	5	6	3	3	9	4	0	6	2	5	1	5	2	2	7	3	2	5	1	0	4	3	2	3	1	8	5	5	3	1	3	6	6	7	4	0
13332	NY	4	2	2	0	2	3	1	0	2	0	2	4	2	3	4	0	3	3	0	2	0	2	0	1	3	0	1	1	4	0	3	1	1	1	0	1	2	2	3	1	2	1	1	1	1	1	0	1	3	1	0	4	2	1	1	1	3	1	0	0	4	2	0	0	4	2	1	2	2	0	2	3	1	2	1	2	3	0	2	2	0	0	2	0	1	0
